________ is a prime example of a hotel chain that used Big Data for predicting the optimal price of tis rooms;Maggiot International;Garden inn International;Hilton International;Marriot International;4
“datasets so large and complex that could not be captured, managed and processed by general computers within an acceptable scope” the given definition is about…;Big data;Data mining;Big data mining;Data warehouse;1
“Personalization is …;the process of changing the output of a system to a user’s context and profile”.;the process of adding the output of a system to a user’s context and profile”.;the process of altering the output of a system to a user’s context and profile”.;the process of adapting the output of a system to a user’s context and profile”.;4
A computer program that enables users to surf the internet is known as;internet explorer;navigator;web browser;internet surfer;3
A gateway can be defned as a _____________.;very useful for the military.;method used to make import and export very tedious and difficult;terminal that operates only as a seaport;door that allows import and export of cargo in and out of the country;4
A group of files are stored in a;folder;graphic;text;word;1
A list of expected arriving guests is generated daily by a __________ module. ;point-of-sale;guest accounting;rooms management;reservations;4
A mathematical calculation in a spreadsheet is called…;label;formula;number;value;2
A pen drive…;inputs information;puts out information;retrieves information;stores information;4
A rectangle can be drawn in word processing application using the…;Arrow;Circle;Oval;Square;4
A teacher using the internet decided to send an electronic mail to Junior High School Students in Ghana. Which of the following will the teacher use to accomplish his/her mission?;Website address;Data file address;E-mail address;Modern address;2
A tool for locating information on the internet is the…;database engine;internet browser;search engine;web browser;3
All of the following are reasons for using ICT in education except;forcing students to learn at others’ pace;increasing learner motivation and engagement;facilitating the acquisition of basic skills in subject areas;enhancing teaching through the use of presentation software;1
Among the challenges that every company faces when coming to Big Data analytics is the lack of _______;Skilled personnel;Unskilled personnel;Educated personnel;Industry workers;1
An application service provider (ASP) is  a ____________ that offers individuals or enterprises access over the Internet to applications and related services that would otherwise have to be located in their own personal or enterprise computers.;Company;Office;Platform;Web based platform;1
An application service provider (ASP) is  a company that offers individuals or enterprises access over the _________ top applications and related services that would otherwise have to be located in their own personal or enterprise computers.;People;Internet;Service;Platforms;2
An application service provider (ASP) is a company that offers individuals or enterprises access over the Internet to applications and related services that would otherwise have to be located in their own personal or enterprise computers.;True;False;Partly true;Partly false;1
An authorization given to the employee to let him or her takes guest or hotel property out of the hotel. ;Master Key;Skipper;Fire emergency;Gate Pass;1
An automated lodging information system is commonly called a…; property management system.;back office management system.;hotel system interface.;front office management system;1
An entity in a file system which contains a group of files is called a…;cabinet;container;document;folder;4
An example of an operating system is;CALC;DISK;DOS;WORD;3
An IoT ________ center is envisaged as an important part of the generic IoT platform to unify the organization.;Individual Information;Individual Integration;Integrated Information;Individual and Integrated Information;3
ASP stands for;Application service package;Application service provider;Application service pannel;Application service part;2
Back office system is;Managing the staff;Managing the adminstration;Managing the consumer;Managing the customer;1
Capital Expenses includes the cost of… ;Flowers & Horticultural;Master & Department Budget;Equipment’s and Machinery;Salary & Wages;4
Choose one of largest distributors of leisure packages and technology providers;Amadeus ;Galelio;SoftPar;RevPar;1
Choose traditional ASP module;Siyobbazar.uz;Feedback.com;Silkroad.uz;Amazon.com;4
Computer devices such as mouse, trackpad and joystick are referred to as;Output devices;Pointing devices;Standard devices;Internal devices;2
Computer virus is capable of;enhancing the contents of a file;maintaining the computer system;making the work of the computer easy;slowing down the computer system performance.;4
Define the term “Check-out”;Empty;Full;Checking out now;Cheking in now;3
Define the term “Due-out”;Out of check out;Out of order;Out of service;Out of network;1
