Tourism Marketing has a dominant role of;Customers;Producers;Travel agencies;Intermediaries;4
One tourism product is a combination of different products from different manufacturers. It is commonly known as ?;Package tour;Tour operation;Multiplicity of producers;Producers;3
4 P’s of marketing 1.Place 2.Price 3.Promotion 4.__________;Packaging;Product;People;Process;2
Tourism Marketing is an instrument to lift up the standard of living of ____________ population?;Guest population;Host population;Tribal population;Market population;2
Tourism is having highly ____________ demand ?;Stable demand;Passive demand;Urgent demand;Unstable demand;4
What is marketing depreciation?;Production is less than demand;Demand is less than production;Production and demand is equal;Urgent demand;2
‘Marketing boom’ means?;Production is more than demand;Production is less than demand;Production and demand is equal;Price is equal;2
Marketing stabilizes the ____________ conditions?;Social conditions;Economic conditions;Political conditions;Cultural conditions;2
Societal Marketing is focusing on?;Society wellbeing;Customer wellbeing;Cultural wellbeing;Tourist wellbeing;1
What is CRM?;Customer Retention Management;Customer Relaxation Management;Customer Relation Management;Customer Research Marketing;3
Advertisement is one of the ____________ in marketing;Marketing tool;Business tool;Commercial tool;Promotional tool;4
Select the 1st procedure of market research?;Identification of the problem;Identify the objectives;Find out research technique;Data collection;1
Which segmentation is generally international companies prefer?;Geographical;Economic;Demographic;Behavioral segmentation;1
Demographic segmentation is conducting on the basis of?;Market distance;Study of people;Economic conditions;Psychological factors;2
Geographical segmentation is on the basis of _______________?;Market distance;Study of people;Social conditions;Economic conditions;1
Behavioral segmentation is on the basis of _______________?;Economic conditions;Customer satisfaction;Behavioral variables;Social conditions;3
Psychological segmentation is on the basis of _______________?;Humanity factors;Psychological factors;Behavioral factors;Demographic factors;2
Which one is not the element of market planning?;Policies;Programs;Budgets;People;4
Fill in the blank with suitable option? 1. People 2.Packaging 3.Physical evidence 4.__________;Process;Place;Product;Price;1
After decline stage a product can undergo for _______________?;New product development;Modifications;Offers;Discount sales;1
1st stage of new product development is _______________?;Screening of idea;Commercialization;Generating product ideas;Concept development;3
Which is the correct arrangement of product life cycle?;Product development stage, Growth stage, Saturation stage, Decline stage, Introduction stage;Introduction stage, Product development stage, Saturation stage, Decline stage;Product development stage, Growth stage;Product development stage, Introduction stage, Growth stage, Saturation stage, Decline stage;4
Write the full form of PLC?;Product Life and Customers;Product Life Cycle;Product Living Cycle;Persons Life Style;2
According to PLC, the rate of sales at Development stage will be ?;Nil;Low sales;Peak sales;Decline;1
As per PLC, the rate of sales at Introduction stage is ?;High sales;Low sales;Gradually increasing;Peak sales;2
As per PLC, the rate of sales at Growth stage is ?;Gradually increasing;Peak sales;Decline;Nil sales;1
As per PLC, sales at Saturation stage would be?;Peak sales;Low sales;Decline;Maturity;1
As per PLC, cost of product at Development stage?;Very high;Very low;Medium;Gradually increasing;1
As per PLC, the product cost at the rate of Introduction stage must be ?;Very high;High cost per customers;Average cost per customers;Low cost;2
As the information from PLC, the product cost at the rate of Growth stage will be ?;Very high;High cost;Average cost;Low;3
As per PLC, cost of product at the rate of Saturation stage can be ?;Low cost;Average;High cost;Very high;1
As per PLC, profit for a firm at Introduction stage will be?;No profit;Less profit;Rising profit;Maximum profit;2
Tour operation in marketing is a _______________ mix?;Product mix;Place mix;Promotion mix;Product mix;2
Personal selling in tourism is one of the _______________ mix?;Product mix;Place mix;Promotion mix;Product mix;3
Which is not included in product mix?;Image;Reputation;Brand;Sponsorship;4
Which is not included in price mix?;Adds;Whole sale price;Seasonal price;Corporate price;2
Tourism clubs included in _______________ mix?;Product mix;Place mix;Promotion mix;Price mix;2
As per PLC, the profit of a firm at the rate of Growth stage would be ?;Increasing;Decreasing;Minimum;Maximum;1
From the below options which suits for promotion?;Discounted price;Trade fares;Outdoor selling;Whole sale price;3
From the options which suits for place mix?;Sales promotions;Image and reputation;Reservation systems;Personal selling;3
In new product development which stage is known as preparation stage?;Product screening stage;Commercialization;Test marketing;Product development stage;1
Marketing activity starts with?;Producers;Customers;Manufacturers;Business;2
Marketing activity ends with?;Customers;Producers;Distributers;Seller;1
Marketing is _________ driven?;Profit driven;Customer driven;Producer driven;Value driven;4
Marketing takes place well before and after _________?;Production;Commercialization;Test marketing;Pricing;1
Marketing is _________ oriented?;Product;Customer;Producers;Distributers;2
What is the relation between production and consumption about tourism product?;Interrelated;Production after consumption;Consumption after production;Product Complaining;1
Sales forecast means?;Planning;Guessing the future;Study of future;Study of past;3
PLC explain that competitions at maturity stage is?;Lot;Less;Minimum;Nil;1
PLC tells that the customers for a product at the rate of its Decline stage will be?;Maximum;Increasing;Innovators;Very less;4
PLC defines that profit at introduction stage is?;Rising profit;Less profit;No profit;Maximum profit;1
As per the information from PLC profit at growth stage is ?;Maximum profit;Rising profit;Less profit;No profit;2
PLC explains that profit at maturity stage is ?;Monopoly;Perfect Competition;Imperfect Competition;Oligopoly;1
As per the PLC competitors at development or growth stage would be?;No competitors;Lot of competitors;Growing numbers;Nil;3
PLC tells that the customers at development/growth stage would be?;No customers;Increasing customer;Innovators;Maximum customers;1
PLC explains that competitors at introduction stage is ?;Lot of competitors;Growing competitors;No competitors;Nil;1
Product is an amalgum of ________?;Goods and product;Service and product;Goods and services;Selling and buying;3
Deciding in advance is commonly known as _________?;Planning;Coordinating;Organizing;Directing;1
What is the process of dividing a total market into different groups?;Niche marketing;Day marketing;Market segmentation;Market potential;3
When there is only one intermediary between producer and consumer, it is known as ________________ ?;1-Level;2-Level;Multi-level;3-level;1
PLC explains that customers at introduction stage is ?;No customer;Increasing customers;Innovators;Maximum customers;3
Where there is  intermediary between producer and customer ,it is known as _____________?;2-level;ensuring demand for goods;fixing the price of a product;expansion of the range;1
PLC explains that customers at growth stage is ?;No customers;Increasing customers;Innovators;Maximum customers;2
When there is no intermediary between producer and customer, it is known as _____________?;0-level;2-level;1-level;Multi-level;1
Production concept is otherwise known as ?;Product concept;Core concept;Social concept;Manufacturing concept;4
Societal concept in marketing focus on ?;Society wellbeing;Market wellbeing;Firms wellbeing;Social activity;1
In tourism industry and tourism marketing, travel agent is known as ?;Spoke person;Negotiator;Intermediaries;Agent;3
Marketing mix is considered as one of the _____________ in marketing?;Factor affecting pricing;Core concept;Philosophy;Negotiator;1
Setting lower price for a product is a good marketing tool for?;Profit maximization;Revenue;Preventing competition;Core concept;3
What are the different types of factors affecting pricing?;Organizational and management;Internal and organizational;Internal and management;Internal and external;4
Which is the controllable factors affecting pricing?;Internal;External;Organizational;Marketing mix;1
Which is the non controllable factor affecting pricing?;Internal;External;Organizational;Management;2
Market skimming price is starting with a ________________ price?;High price;Low price;Minimum price;Zero price;1
Market penetrating price is starting with a ________________ price?;High price;Low price;Minimum price;Zero price;2
The 1st aim of a firm is to ?;Make profit;Image;Communication channel;Survive;2
Distribution channels are mainly classified in to?;1;2;4;5;4
The Direct distribution of a product in market comes under ________________ channel?;Single level;Two level;Direct level;Three level;3
Education, family size, religion etc comes under________________ type of segmentation?;Demographic segmentation;Political segmentation;Geographical segmentation;Behaviour Segment;1
There are mainly ________________classes of people in a market?;3;2;5;1;1
Which period is called adverse period of marketing?;Marketing boom period;Market depreciation;Demand period;Price;2
User status is a factor comes under________________ type of segmentation?;Physical segmentation;Political segmentation;Behavioral segmentation;Demographic segmentation;3
Which one is the larger concept in marketing?;Selling concepts;Marketing concept;Organizational concept;Revenue concept;2
Which kind of research it is, when it focuses the customers?;Selling research;Demand research;Consumer research;Product research;3
Which kind of research it is, when it focuses product?;Product research;New product research;Consumer research;Demand research;1
Objectives of company is an________________ factor affecting pricing?;Internal;External;organizational;Structural;1
Pricing is actually done by________________?;Lower level management;Top level management;Executives;Employers;1
The process of dividing a total market into different ________________ groups is called market segmentation?;Buyers groups;Producers groups;Marketing groups;Consumer group;1
The process of dividing a total market into different buyers group is called____________?;Market segmentation;Market groups;Markets;Market penetration;1
Marketing research is a tool to reduce____________?;Market group;Competition;Risk;Planning;2
Market research saves ____________ of people engaging in marketing operation?;Energy and time;Profit;Number of people;Loyalty status;1
Physical evidence in additional 4 P’s explains the____________?;Process;People;Design aesthetics;Price;3
Market testing is otherwise known as?;Marketing test;Test marketing;Commercialization;Profit;2
A product concept is an elaborated version of ____________?;Idea expressed;New product;Sample product;Declined product;1
Introduction stage is otherwise known as ?;Launching stage;Introduction stage;Maturity stage;Sample product;1
____________ is the core stage of PLC?;Product development stage;Introduction stage;Growth stage;Commercialization;3
From the below list which one is small concept?;Marketing concept;Selling concept;Production concept;Manufacturing concept;2
In selling company achieve profit through?;Selling;Selling volume;Marketing;Production;2
Which of the following is not an Exchange function of Marketing?;Product Planning & Development;Buying function;After-sales service;Selling Function;3
Which one of the following is a key to build lasting relationships with consumers?;Price of the product;Need recognition;Customer satisfaction;Quality of product;3
When promotional expenses increasing the price will ____________?;Increase;Decrease;Mutually beneficial;Less;1
Which of the following is not a tangible dominant?;Detergents;Automobiles;Investment Management;Soft drinks;3
Select name of the country having maximum percent of GDP attributed to services;United States;China;Germany;India;1
______ is not an element of physical evidence.;Employee dress;Employee Training;Equipment;Facility design;2
________ is not an element of People.;Motivation;Teamwork;Flow of activities;Customer training;3
________ is the difference between customer expectations and perceptions;Customer Delight;Customer Satisfaction;Customer Gap;The supplier Gap;3
SSTs stands for ______.;Stable Service Technologies;Social Service Technologies;Smart Service Technologies;Self Service Technologies;4
Which of the following is difficult to evaluate?;Jewellery;Auto repair;Furniture;Clothing;2
Evaluation of Medical Diagnosis service is mainly depends on ________.;High in experience quality;High in credence quality;High in search quality;Both a and c;2
_________ can be characterized as pure service.;Teaching;Banking;Saloon;There’s no such thing like a pure service;4
Intangibility, Perishability, Inseparability & Variability are the characteristics of _______.;Products;Services;Goods;Price;2
_______ is defined as the caring, individualized attention that the firm provides to its customers.;Empathy;Responsiveness;Sympathy;Assurance;1
Charging customers different prices for essentially the same service is called _________.;Price discrimination;Price Determination;Price segmentation;Price Settlement;2
Which of the following is not a type of Service encounters?;Remote encounters;Phone encounters;Face to face encounters;Check in Encounters;4
Distinct characteristic of services is ____;Inseparability;Perishability;Intangibility;Variability;3
Service marketing is the same as ________.;Digital Marketing;Retail Marketing;Ambush Marketing;Relationship Marketing;4
