_________ cost is the value of the next best alternative or option.;Production;Selling;Opportunity;Total;3
_________ is a place in which people make exchanges which are governed by prices.;Market;District;Bank;State;1
_________ is an example of Microeconomic theory.;Theory of Consumption;Theory of Economic Growth;Theory of Money;Theory of Income, Employment and Output;1
___________ is a universal problem.;Scarcity;Underemployment;Lack of investment;Dissaving;1
___________ is an example of Macroeconomic theory.;Theory of Production;Theory of Rent;General Theory;Theory of Profit;1
‘Capital gains’ refers to goods which –;Serve as a source of raising further capital;Help in the further production of goods;Directly go into the satisfaction of human wants;Find multiple uses;2
‘Hire and Fire’ is the policy of –;Capitalism;Socialism;Mixed Economy;Traditional Economy;3
A closed economy is one which –;Does not trade with other countries;Does not possess any means of international transport;Does not have a coatastal line;Is not a member of the U.N.O;1
What is Absolute (Money) Price?;The price of a good in money terms.;Anything of value that is owned or that one has claim to.;Total cost;Fixed cost;1
A country’s _________depends on its ability to produce goods and services.;Demand;Standard of living;Investment;Policy;2
A demand curve, which is parallel to the horizontal axis, showing quantity, has the price elasticity equal to –;Zero;One;Less than one;Infinity;4
A rational decision maker does which of the following?;Takes an action only if the combined benefits of that action and previous actions exceedthe combined costs of that action and previous actions;Takes an action only if the marginal benefit of that action exceeds the marginal cost ofthat action;"Ignores marginal changes and focuses instead on ""the big picture""";Ignores the likely effects of government policies when he or she makes choices;2
A rational person does not act unless;The action is ethical.;The action produces marginal costs that exceed marginal benefits.;The action produces marginal benefits that exceed marginal costs.;The action makes money for the person.e.none of these answers.;3
According to Prof. Mankiw,__________ is the essence of economics.;Demand;Supply;Decision making;Price mechanism;3
Adam Smith wrote the book;The Wealth of Nations.;Poverty and Progress.;The Dismal Science.;First Principles of Economics.;1
All economic questions and economic activity arise from;Cooperation;Trade;Competition;. Scarcity;4
All of the goods which are scarce and limited in supply are called –;Economc goods;Luxury goods;Expensive goods;Capital goods;4
An _________ is something that induces a person to act.;Investment;Interest;Incentive;Income;3
An externality is defined as;An additional cost imposed by the government on producers.;A cost or benefit that arises from production and falls on someone other than the producer, or a cost or benefit that arises from consumption and falls on someone other than the consumer.;An additional gain received by consumers from decisions made by the government.;The additional amount consumers have to pay to consume an additional amount of a good or service.;2
Find the definition of Accounting Profit?;Revenue;The difference between total revenue and explicit costs;Tax revenues greater than government expenditures;The price of a good in money terms;2
Apart from the availability of raw material location of an industry is also dependent on the availability of:;Enviornmental protection and vegetation;Man power and energy source;Transport and bio energy;Water and inputs;2
As per law of demand, demand and price of a good are ............. related.;Directly;Inversely;Positively;Not;2
Bank rate is the rate of interest –;At which public borrows money from Commercial Bank;At which public borrows money from RBI;At which Commercial Banks borrow money from RBI;At which Commercial Banks borrow money from public;3
Bankruptcy is a situation in which:;Tourism organization operates at a loss and is unprofitable;Tourism organization works profitably;A tourism organization is reorganized through a merger with another tourism organization;Tourism organization is reorganized through a merger;1
Average Fixed Cost (AFC) is equal to…?;Total variable cost divided by quantity of output: AVC = TVC /Q.;Total cost divided by quantity of output: ATC = TC /Q.;Total fixed cost divided by quantity of output: AFC = TFC /Q;Recurrent swings (up and Down) in Real GDP.;3
Average Total Cost (ATC) is equal to..?;Total variable cost divided by quantity of output: AVC = TVC /Q.;Total cost divided by quantity of output: ATC = TC /Q.;Total fixed cost divided by quantity of output: AFC = TFC /Q;Recurrent swings (up and Down) in Real GDP.;2
Average Variable Cost (AVC) is equal to..?;Total variable cost divided by quantity of output: AVC = TVC /Q.;Total cost divided by quantity of output: ATC = TC /Q.;Total fixed cost divided by quantity of output: AFC = TFC /Q;Recurrent swings (up and Down) in Real GDP.;1
Capacity utilization –;Is usually near 100 percent.;Represents the percent of the labour force that is employed.;Is a measure of the proportional of the existing capital stock used for current production.;Rises as the economy moves into a recession, since firms must replace unemployed workers with some other resources to maintain production.;3
Central bank controlled inflation through which policy?;Monetary policy;Trade Policy;Investment Policy;EXIM Policy;1
Ceteris paribus means;That which will be;What ought to be;Other things being equal;All are correct;3
What is “Bad” in economics?;Anything from which individuals receive disutility or dissatisfaction.;A record of the assets and liabilities of a bank.;Exchanging goods and services for other goods and services without the use of money.;Government expenditure greater than tax revenues.;1
Commodity market -;It is a system of relations between sellers and buyers regarding the sale of goods and services for money;The ratio of demand, supply;Wholesale market;Retail market;1
Comparative advantage is based on;Dollar price;Labor cost;Capitol cost;Opportunity cost;4
Competitor-Based Pricing;Prices are set below market, at the level of market and above market, depending on the exactingness of customers, the service provided, the real or proposed response from competitors;Prices are set below market prices depending on the demands of customers;Prices are set at the market level depending on the exactingness of customers;Prices are set above the market, depending on the exactingness of customers;1
Consumption function expresses the relationship between consumption and –;Savings;Income;Investment;Price;2
Cosequent upon the recommendations of the Working Group on Rural Banks, 5 Rural Regional Banks were initially set up in the year –;1973;1974;1975;1976;3
Cost based pricing (cost method);Built on the calculation of the full cost of the tourist and hotel product;Based on setting prices acceptable to the market;Prices are set below market;Ces are set above market;1
Dealer is;Intermediary and intermediary firm dealing directly with buyers;Intermediary firm;Seller manufacturer;Sales department;1
Degree of _______ decides the nature of market.;Competition;Cooperation;Price discrimination;Production;1
Demand driven pricing;Based on the study of the desires of consumers and the establishment of prices acceptable to the target market;Based on setting prices acceptable to the target market;Prices are set below market prices depending on the demands of customers;Prices are set above the market, depending on the exactingness of customers;1
Demand for complementary goods is known as –;Joint demand;Derived demand;Direct demand;Cross demand;1
Demand for hotel products is variable and depends on (select more than one option);Season, products, personnel;Clients;Products;Season, customers;1
Devaluation of money means :;Decrease in the internal value of money;Decrease in the external value of money;Decrease in both internal and external value of money;The government takes back currency notes of any denomination;1
Different types of wages;Nominal and real wages;Nominal wage;Real wages;Increase in profitability;1
Distinguish between absolute and relative indicators of the comparative economic efficiency of the hotel business:;Cost reduction and capital intensity reduction, revenue growth;Increase in profitability;Profit growth;Comparison of profit indicators;1
When the Budget Deficit occur?;Anything from which individuals receive disutility or dissatisfaction.;A record of the assets and liabilities of a bank.;Exchanging goods and services for other goods and services without the use of money.;Government expenditure greater than tax revenues.;4
Economics can be defined as:;The science of mathematics in an economy’s context;A social science concerned with the production, consumption and distributionof goods and services;A social science concerned with tourism and all its facets;A subset of tourism, recreation and mathematics;2
Economics is a social science which deals with human behavior as a relationship between________.;Unlimited buyers and limited sellers;Unlimited wants and scarce resources;Unending wants and limited people;Consumption and production;2
Economists generally believe that making assumptions is;A good idea, since doing so helps to simplify the complex world and make it easier to understand;A good idea, since economic analysis without assumptions leads to complicated results that the general public finds hard to understand;A bad idea, since doing so invariably leads to data-collection problems;A bad idea, since doing so leads to the omission of important ideas and variables from economic models;1
Economy is;The science of how society uses scarce resources to produce goods and services and distributes them among different groups of people;The science of the national economy as a whole in an international context;The science of the economic mechanism, the subjects of the market;Life science to produce goods, distribute them among different groups of people;1
Effective demand depends on?;Capital-output ratio;Output-capital ratio;Total expenditure;Supply price;4
Enterprise Resources;This is all that is necessary for the production and sale of products;Material resources necessary for the production of products;Intangible resources necessary for the production of products;Capital, fixed, working capital;1
From the national point of view, which of the following indicates micro approach?;Study of sales of mobile phones by BSNL;Unemployement among Women;Per capita income in India;Inflation in India;1
Find the definition of Balanced Budget?;Anything from which individuals receive disutility or dissatisfaction.;A record of the assets and liabilities of a bank.;Government expenditures Equal to tax revenues.;Exchanging goods and services for other goods and services without the use of money;3
